id,device_name,lat,long,pm_25,pm_10,no2,co,co2,ch4,temp,rh,data_created_time
242679,TARA023,NA,NA,64.9,72.2,54.0,0.94,,,24.1,66.0,2024-06-25 01:57:00+00:00
244443,TARA036,NA,NA,36.8,49.8,29.0,0.87,,,24.9,66.0,2024-06-25 05:58:00+00:00
253263,TARA033,28.562998,77.210976,45.7,48.1,4.4,0.07,,,29.5,53.0,2024-06-27 00:43:00+00:00
256791,TARA014,28.424393,77.089417,,,18.0,,601.0,,36.5,60.0,2024-06-27 12:31:00+00:00
258555,TARA020,28.465347,77.053909,33.4,70.5,26.0,0.18,,,39.3,41.0,2024-06-27 16:01:00+00:00
260319,TARA044,28.440153,77.035553,39.6,63.5,80.9,0.75,,,35.6,53.0,2024-06-27 19:35:00+00:00
265610,TARA041,28.563101,77.210884,26.5,29.0,29.0,0.93,,,28.2,67.0,2024-06-28 05:28:00+00:00
235623,TARA041,28.563025,77.211014,29.0,31.4,48.9,0.95,,,25.2,73.0,2024-06-24 02:08:00+00:00
237387,TARA041,28.563025,77.211014,54.1,59.0,36.5,0.92,,,25.1,74.0,2024-06-24 08:05:00+00:00
240915,TARA008,NA,NA,54.9,70.6,44.0,,866.0,,24.4,64.0,2024-06-24 21:46:00+00:00
242680,TARA014,0.150000,0.150000,53.9,69.6,19.8,,812.0,,25.1,63.0,2024-06-25 01:58:00+00:00
251500,TARA023,28.510630,77.168076,33.8,36.2,36.7,0.41,,,38.4,36.0,2024-06-26 17:27:00+00:00
260320,TARA020,28.465347,77.053909,47.2,78.5,100.0,0.78,,,34.8,54.0,2024-06-27 19:35:00+00:00
262084,TARA044,28.440353,77.035477,74.4,98.4,43.2,1.38,,,34.5,60.0,2024-06-27 22:59:00+00:00
263848,TARA041,NA,NA,44.7,49.6,49.0,1.07,,,28.4,56.0,2024-06-28 02:16:00+00:00
265611,TARA071,28.424261,77.089417,46.7,63.7,28.0,1.11,,,34.0,60.0,2024-06-28 05:28:00+00:00
267373,TARA011,28.425932,77.020454,25.9,35.0,36.8,,554.0,,31.1,71.0,2024-06-28 08:38:00+00:00
242681,TARA020,NA,NA,45.7,50.6,53.1,0.93,,,24.4,65.0,2024-06-25 01:57:00+00:00
247973,TARA054,NA,NA,27.1,37.9,55.0,1.59,,,28.1,58.0,2024-06-26 01:15:00+00:00
249737,TARA044,28.562840,77.211174,411.6,556.3,26.0,1.17,,,28.5,74.0,2024-06-26 09:06:00+00:00
251501,TARA020,28.465412,77.053932,72.6,112.3,48.2,1.12,,,38.3,47.0,2024-06-26 17:27:00+00:00
255029,TARA020,28.465286,77.053902,88.2,119.3,31.1,0.75,,,32.7,66.0,2024-06-27 06:51:00+00:00
258557,TARA014,28.430128,77.049973,38.8,121.5,6.8,,522.0,,37.1,48.0,2024-06-27 16:02:00+00:00
260321,TARA023,28.396700,77.072182,47.6,50.1,44.1,0.82,,,37.9,30.0,2024-06-27 19:35:00+00:00
262085,TARA020,28.465321,77.053947,82.2,113.5,43.0,1.39,,,33.8,60.0,2024-06-27 22:59:00+00:00
263849,TARA071,28.424295,77.089462,74.3,97.4,49.4,1.51,,,36.3,56.0,2024-06-28 02:16:00+00:00
265612,TARA059,NA,NA,26.4,28.8,1958.5,,,,29.7,58.0,2024-06-28 05:14:00+00:00
232097,TARA020,NA,NA,304.1,326.2,30.9,0.24,,,26.1,72.0,2024-06-23 16:37:00+00:00
235625,TARA020,NA,NA,56.0,56.0,49.1,0.93,,,25.6,68.0,2024-06-24 02:08:00+00:00
249738,TARA023,28.563128,77.211136,412.2,557.1,25.7,1.19,,,27.6,75.0,2024-06-26 09:06:00+00:00
255030,TARA033,28.563175,77.211212,42.1,57.0,47.9,0.17,,,29.2,57.0,2024-06-27 06:51:00+00:00
256794,TARA054,28.424301,77.089287,29.8,64.5,24.0,0.94,,,36.0,54.0,2024-06-27 12:32:00+00:00
258558,TARA033,28.424383,77.089378,47.5,71.4,2.5,0.1,,,42.6,40.0,2024-06-27 16:01:00+00:00
244447,TARA008,NA,NA,35.8,38.3,39.9,,833.0,,24.0,69.0,2024-06-25 05:59:00+00:00
249739,TARA071,NA,NA,384.6,519.7,26.0,1.03,,,27.2,78.0,2024-06-26 09:07:00+00:00
253267,TARA020,28.465328,77.053947,103.8,142.5,42.3,0.97,,,33.3,60.0,2024-06-27 00:44:00+00:00
258559,TARA011,28.425787,77.020508,39.9,122.5,19.1,,547.0,,38.4,45.0,2024-06-27 16:01:00+00:00
232099,TARA041,NA,NA,446.6,603.5,30.9,0.28,,,26.0,75.0,2024-06-23 16:38:00+00:00
240919,TARA020,NA,NA,55.7,55.7,4.2,2.1,,,25.2,60.0,2024-06-24 21:46:00+00:00
242684,TARA036,NA,NA,67.9,70.3,55.0,1.34,,,25.0,65.0,2024-06-25 01:58:00+00:00
244448,TARA020,28.562857,77.211105,43.1,48.0,29.0,0.82,,,24.5,67.0,2024-06-25 05:59:00+00:00
260324,TARA054,28.394417,77.030304,60.4,62.9,54.6,0.76,,,36.5,51.0,2024-06-27 19:37:00+00:00
262088,TARA071,28.424303,77.089485,41.5,41.5,42.3,1.7,,,36.8,50.0,2024-06-27 23:00:00+00:00
263852,TARA054,28.394295,77.030457,85.3,115.3,49.0,0.86,,,33.6,64.0,2024-06-28 02:17:00+00:00
267377,TARA054,28.394308,77.030487,33.2,44.9,0.0,0.84,,,29.1,79.0,2024-06-28 08:40:00+00:00
233864,TARA041,NA,NA,92.6,112.3,,1.49,,,34.2,60.0,2024-06-23 21:12:00+00:00
240920,TARA023,NA,NA,76.7,116.4,20.1,2.0,,,24.4,63.0,2024-06-24 21:46:00+00:00
244449,TARA014,0.150000,0.150000,44.7,57.9,14.8,,781.0,,24.9,66.0,2024-06-25 06:00:00+00:00
247977,TARA054,NA,NA,27.1,37.9,55.0,1.59,,,28.1,58.0,2024-06-26 01:16:00+00:00
249741,TARA023,NA,NA,420.7,568.6,26.0,1.16,,,27.5,78.0,2024-06-26 09:08:00+00:00
251505,TARA020,28.465366,77.053947,117.4,200.1,48.4,1.08,,,38.3,47.0,2024-06-26 17:28:00+00:00
253269,TARA033,28.562998,77.210976,45.7,48.1,4.4,0.05,,,29.5,50.0,2024-06-27 00:44:00+00:00
256797,TARA044,28.424326,77.089310,46.7,62.4,25.0,1.14,,,35.3,58.0,2024-06-27 12:30:00+00:00
265616,TARA054,28.394308,77.030510,33.2,44.9,0.0,0.78,,,30.9,75.0,2024-06-28 05:29:00+00:00
242686,TARA023,NA,NA,66.6,93.0,54.0,0.95,,,24.1,67.0,2024-06-25 01:58:00+00:00
255034,TARA020,28.465286,77.053902,88.2,119.3,31.2,0.75,,,32.7,66.0,2024-06-27 06:52:00+00:00
256798,TARA023,28.424341,77.089378,32.8,44.3,31.0,1.12,,,34.6,58.0,2024-06-27 12:31:00+00:00
262090,TARA054,28.394283,77.030457,60.9,68.2,44.0,1.65,,,34.4,60.0,2024-06-27 23:01:00+00:00
265617,TARA044,28.440111,77.035538,36.5,49.4,28.2,0.78,,,30.6,75.0,2024-06-28 05:28:00+00:00
267379,TARA044,28.440130,77.035568,34.3,46.4,58.4,0.84,,,29.8,74.0,2024-06-28 08:39:00+00:00
233866,TARA020,NA,NA,101.2,135.9,,1.32,,,33.7,60.0,2024-06-23 21:11:00+00:00
235630,TARA041,28.563025,77.211014,34.7,34.7,48.5,0.94,,,25.3,72.0,2024-06-24 02:09:00+00:00
240922,TARA011,NA,NA,70.1,72.5,65.4,,894.0,,24.5,64.0,2024-06-24 21:46:00+00:00
242687,TARA014,0.150000,0.150000,59.7,59.7,19.8,,812.0,,25.1,64.0,2024-06-25 01:59:00+00:00
244451,TARA023,NA,NA,48.0,52.9,28.7,0.84,,,24.0,68.0,2024-06-25 05:59:00+00:00
253271,TARA020,28.465328,77.053947,103.8,142.5,38.1,0.97,,,33.3,60.0,2024-06-27 00:45:00+00:00
262091,TARA044,28.440353,77.035477,74.4,98.4,43.2,1.38,,,34.5,60.0,2024-06-27 22:59:00+00:00
263855,TARA044,28.440184,77.035461,87.2,117.8,50.2,0.86,,,33.9,65.0,2024-06-28 02:16:00+00:00
267380,TARA020,28.465315,77.053955,29.8,40.3,49.4,0.85,,,28.5,80.0,2024-06-28 08:39:00+00:00
235631,TARA020,NA,NA,56.0,56.0,48.6,0.93,,,25.7,68.0,2024-06-24 02:09:00+00:00
240923,TARA014,NA,NA,71.5,71.5,48.7,,829.0,,25.3,61.0,2024-06-24 21:47:00+00:00
242688,TARA020,NA,NA,53.5,53.5,53.1,0.93,,,24.5,66.0,2024-06-25 01:59:00+00:00
244452,TARA036,NA,NA,51.7,51.7,29.0,1.04,,,24.9,66.0,2024-06-25 06:00:00+00:00
247980,TARA054,NA,NA,27.1,37.9,55.0,1.59,,,28.1,60.0,2024-06-26 01:17:00+00:00
249744,TARA044,28.562840,77.211174,411.6,556.3,26.0,1.17,,,28.6,74.0,2024-06-26 09:07:00+00:00
255036,TARA033,28.563190,77.211105,42.1,57.0,48.1,0.16,,,29.2,55.0,2024-06-27 06:52:00+00:00
