id,location,lat,long,description,category,created_at,image_filename,user,data_id
143,Rajendra Nagar,25.5962672,85.1742582,After 10pm,Vehicle Pollution,2024-07-16 17:02:48.342949+00,,person 27,480521
144,Rajendra Nagar,25.596277,85.169963,Morning reading at residential area,Vehicle Pollution,2024-07-17 00:33:35.890397+00,,person 27,492312
145,Rajendra Nagar,25.5943548,85.1741247,Bhootnath road,Vehicle Pollution,2024-07-17 01:23:38.47495+00,,person 27,493682
146,Rajendra Nagar,25.5987972,85.1697139,Kanti Factory road,Vehicle Pollution,2024-07-17 02:27:42.699264+00,,person 27,495446
147,Rajendra Nagar,25.59598161,85.16981432,Morning vibes ,Vehicle Pollution,2024-07-17 02:50:21.169568+00,,person 4,496039
148,Patna,25.6222602,85.1102613,An path residential area ,Vehicle Pollution,2024-07-17 04:59:31.225496+00,1000147581.jpg,person 24,499988
149,Ranipur,25.58367231,85.20877692,.....,Industrial Pollution,2024-07-17 05:14:34.55989+00,1000123368.jpg,person 4,500580
150,Rajendra Nagar,25.5990738,85.1695171,Kanti Factory ,Vehicle Pollution,2024-07-17 05:30:04.224799+00,,person 27,501157
151,Ranipur,25.57712524,85.20741728,Outside patna city ,Industrial Pollution,2024-07-17 06:36:25.538187+00,1000123375.jpg,person 4,503590
152,Patna,25.6257594,85.1002317,Indrapuri 3A,Waste Burning,2024-07-17 07:01:28.313711+00,IMG_20240717_080914.jpg,person 6,504521
153,Patna,25.5847475,85.191432,Pollution ,Vehicle Pollution,2024-07-17 07:03:04.857092+00,1000123380.jpg,person 4,504608
154,Patna,25.6267799,85.1005505,Indrapuri 3A,Construction & Demolition Waste,2024-07-17 07:03:49.706412+00,IMG_20240717_123246.jpg,person 6,504600
155,Rajendra Nagar,25.5959617,85.1675814,Inside room,Waste Burning,2024-07-17 07:22:18.555891+00,1000123383.jpg,person 4,505268
156,Rajendra Nagar,25.5959716,85.1675975,Normal ,Vehicle Pollution,2024-07-17 10:44:47.460634+00,,person 4,512384
157,Patna,25.6282379,85.1016818,Indrapuri Road no - 4,Vehicle Pollution,2024-07-17 11:10:48.739413+00,IMG_20240717_163939.jpg,person 6,513315
158,Patna,25.6177102,85.1139962,Sri bhagwat kunj apartment Boring road ,Vehicle Pollution,2024-07-17 12:26:38.534773+00,1000147622.jpg,person 24,516016
159,Patna,25.6191794,85.1147606,Rajmuni sangeet niketan boaring road,Vehicle Pollution,2024-07-17 12:33:54.413336+00,IMG_20240717_180159.jpg,person 6,516283
160,Patna,25.6192564,85.1146765,Indrapath north sk Puri boring road ,Vehicle Pollution,2024-07-17 12:34:06.331765+00,1000147625.jpg,person 24,516277
161,Patna,25.61916,85.1140123,Boring road krishna apartment ,Waste Burning,2024-07-17 12:37:22.483897+00,1000147620.jpg,person 24,516423
162,Rajendra Nagar,25.6013026,85.1704705,Old bypass,Vehicle Pollution,2024-07-17 12:44:24.73419+00,,person 27,516711
163,Rajendra Nagar,25.5997684,85.1700051,Evening rush,Vehicle Pollution,2024-07-17 12:48:35.119884+00,,person 27,516860
164,Patna,25.6196816,85.1097213,Boring road patna ,Vehicle Pollution,2024-07-17 12:53:35.873982+00,1000147628.jpg,person 24,517010
165,Patna,25.6197255,85.1096704,Boaring road,Vehicle Pollution,2024-07-17 12:54:41.034279+00,IMG_20240717_182330.jpg,person 6,517051
166,Rajendra Nagar,25.5963067,85.1701194,Residential area,Vehicle Pollution,2024-07-17 12:59:28.391978+00,,person 27,517226
167,Rajendra Nagar,25.5960719,85.1698452,Park area ,Vehicle Pollution,2024-07-17 13:09:55.796572+00,,person 27,517605
168,Rajendra Nagar,25.5977716,85.169268,Evening traffic around kanti factory road,Vehicle Pollution,2024-07-17 13:16:11.165489+00,,person 27,517799
169,Rajendra Nagar,25.59915616,85.16980174,Evening crowd ,Vehicle Pollution,2024-07-17 14:40:27.593389+00,,person 4,520684
170,Rajendra Nagar,25.5984153,85.1691966,Road,Vehicle Pollution,2024-07-17 15:02:19.166456+00,1000123547.jpg,person 4,521400
171,Rajendra Nagar,25.60060489,85.16826221,Above to normal ,Vehicle Pollution,2024-07-17 15:43:04.220336+00,,person 4,522730
172,Rajendra Nagar,25.59659515,85.17161284,Evening ,Waste Burning,2024-07-17 15:53:22.431914+00,1000123554.jpg,person 4,523052
173,Rajendra Nagar,25.5963875,85.17374265,Traffic Near boothnath,Vehicle Pollution,2024-07-17 15:54:23.240418+00,,person 27,523073
174,Rajendra Nagar,25.59628665,85.1744996,Cloudy ,Vehicle Pollution,2024-07-17 16:45:29.267409+00,,person 4,524699
175,Rajendra Nagar,25.5961077,85.1732075,Room environment ,Industrial Pollution,2024-07-17 18:14:35.507155+00,1000123554_UztrNSO.jpg,person 4,527318
176,Rajendra Nagar,25.59425357,85.17165643,Morning 🌞,Vehicle Pollution,2024-07-18 01:00:21.704265+00,,person 4,538665
177,Rajendra Nagar,25.5963335,85.1742154,Morning rush,Vehicle Pollution,2024-07-18 01:37:46.282839+00,,person 27,539711
178,Rajendra Nagar,25.5979441,85.1693261,Kanti Factory  road,Vehicle Pollution,2024-07-18 01:48:18.338274+00,,person 27,539991
179,Patna,25.59527893,85.13135814,Less traffic,Vehicle Pollution,2024-07-18 03:19:16.112523+00,,person 3,542521
180,Patna,25.586364,85.0964598,Heatbwave,Vehicle Pollution,2024-07-18 03:59:51.687311+00,,person 4,538780
181,Rajendra Nagar,25.5907286,85.1569689,"Heavy pollution under newly constructed metro bridge in 90 Ft Road in Kankarbagh, Patna",Construction & Demolition Waste,2024-07-18 05:40:24.88106+00,1000481124.jpg,person 2,546372
182,Patna,25.6230208,85.1107005,An path road boring road ,Vehicle Pollution,2024-07-18 06:12:58.849775+00,1000147807.jpg,person 24,547361
183,Patna,25.622263,85.1102614,Patliputra boys hostel boring road,Vehicle Pollution,2024-07-18 06:24:44.387877+00,1000147809.jpg,person 24,547725
184,Patna,25.5945984,85.1204115,Mid noon,Vehicle Pollution,2024-07-18 07:07:45.944703+00,,person 4,538780
186,Patna,25.6267338,85.1004952,Indrapuri 3A/31,Vehicle Pollution,2024-07-18 10:38:45.89632+00,IMG_20240718_160735.jpg,person 6,556068
187,Patna,25.6282425,85.1016882,Indrapuri road 4,Vehicle Pollution,2024-07-18 10:44:10.057451+00,IMG_20240718_161250.jpg,person 6,556245
188,Patna,25.6164787,85.109736,Shivpuri flyover,Vehicle Pollution,2024-07-18 10:51:21.632099+00,IMG_20240718_162008.jpg,person 6,556536
189,Patna,25.6169334,85.110675,Shivpuri,Construction & Demolition Waste,2024-07-18 10:52:42.63781+00,IMG_20240718_162135.jpg,person 6,556572
190,Patna,25.61321,85.1189459,Boaring canal road,Vehicle Pollution,2024-07-18 11:03:28.85753+00,IMG_20240718_163223.jpg,person 6,556963
191,Patna,25.6140852,85.1139532,Sk puri park,Vehicle Pollution,2024-07-18 12:43:32.017734+00,IMG_20240718_181122.jpg,person 6,560560
192,Rajendra Nagar,25.5961663,85.1700149,Evening record,Vehicle Pollution,2024-07-18 13:15:00.097436+00,,person 27,561741
193,Rajendra Nagar,25.5985379,85.1695392,Evening data from kanti factory road,Vehicle Pollution,2024-07-18 13:25:39.436197+00,,person 27,562111
194,Patna,25.6133921,85.1145398,Sk puri,Waste Burning,2024-07-18 13:26:58.88976+00,IMG_20240718_182833.jpg,person 6,562151
195,Patna,25.5848254,85.1920916,Evening ,Vehicle Pollution,2024-07-18 13:27:27.096312+00,,person 4,538780
196,Patna,25.6160136,85.1145236,Sk Puri park ,Waste Burning,2024-07-18 14:08:35.985286+00,1000147885.jpg,person 24,563705
197,Patna,25.6163763,85.1139434,Boring road ,Vehicle Pollution,2024-07-18 14:09:17.809563+00,1000147893.jpg,person 24,563744
198,Rajendra Nagar,25.59597414,85.17363889,Evening ,Vehicle Pollution,2024-07-18 14:51:35.986951+00,,person 4,538780
199,Rajendra Nagar,25.59647069,85.17062906,Away from last position about 500m ,Waste Burning,2024-07-18 14:56:38.562904+00,1000123731.jpg,person 4,538780
200,Rajendra Nagar,25.5985563,85.1685433,9,Vehicle Pollution,2024-07-18 15:35:01.496857+00,,person 27,566949
201,Rajendra Nagar,25.5985563,85.1685433,Katni factory rush at 9,Vehicle Pollution,2024-07-18 15:36:06.108727+00,,person 27,566987
202,Patna,25.60502413,85.08248846,"Bike causing air pollution on Raja Bazar Flyover in Patna, Bihar",Vehicle Pollution,2024-07-18 16:27:44.228449+00,1000481126.jpg,person 2,552224
203,Patna,25.5946099,85.1298425,Pollution,Vehicle Pollution,2024-07-18 16:37:48.583706+00,,person 3,569101
204,Rajendra Nagar,25.59881355,85.17573653,Bhoothnath ,Vehicle Pollution,2024-07-18 17:01:13.816019+00,,person 4,538780
205,Rajendra Nagar,25.59643295,85.1731891,Chitragupta nagar,Vehicle Pollution,2024-07-19 02:08:07.945551+00,,person 27,589002
206,Rajendra Nagar,25.5971485,85.1691461,Huge difference  in same road at 2 different point,Vehicle Pollution,2024-07-19 02:17:03.861921+00,,person 27,589313
207,Rajendra Nagar,25.5960946,85.1732159,Morning pollution near park,Vehicle Pollution,2024-07-19 02:20:30.288814+00,,person 4,538780
208,Rajendra Nagar,25.59866641,85.17277653,Morning ,Vehicle Pollution,2024-07-19 02:35:50.632505+00,,person 4,589956
209,Patna,25.5943406,85.1294118,Construction pollution,Construction & Demolition Waste,2024-07-19 04:25:22.721717+00,1000130127.jpg,person 3,593807
210,Patna,25.5979459,85.1273335,Pollution,Vehicle Pollution,2024-07-19 04:36:26.89492+00,,person 3,594225
211,Patna,25.59403432,85.12914302,Construction pollution,Construction & Demolition Waste,2024-07-19 07:22:31.452743+00,1000130127_xb23Mt4.jpg,person 3,600100
212,Rajendra Nagar,25.59566846,85.17292613,Noon pollution ,Vehicle Pollution,2024-07-19 07:28:51.526567+00,,person 4,600304
213,Patna,25.6192712,85.1093868,An college patna technical department ,Vehicle Pollution,2024-07-19 08:46:47.640894+00,1000148043.jpg,person 24,602863
214,Patna,25.6195291,85.1088697,An college Patna technical department ewm,Vehicle Pollution,2024-07-19 08:49:20.294439+00,IMG_20240719_141419.jpg,person 6,565072
215,Rajendra Nagar,25.59731073,85.17339137,Not working properly ,Vehicle Pollution,2024-07-19 11:52:05.449061+00,,person 4,609593
216,Rajendra Nagar,25.59408247,85.17342678,Evening ,Vehicle Pollution,2024-07-19 12:16:08.413445+00,,person 4,610497
217,Rajendra Nagar,25.60115872,85.17047049,Kumhrar road,Vehicle Pollution,2024-07-19 12:40:41.927412+00,,person 27,611285
218,Rajendra Nagar,25.5979092,85.1692953,Market reqdimg,Vehicle Pollution,2024-07-19 15:54:53.908716+00,,person 27,616308
219,Rajendra Nagar,25.5967746,85.1731934,Chtrigupta nagar  traffic data at 9:30 ,Vehicle Pollution,2024-07-19 16:08:49.783077+00,,person 27,616792
220,Rajendra Nagar,25.59775669,85.17357198,Pollution ,Vehicle Pollution,2024-07-19 17:05:22.650769+00,,person 4,618930
221,Rajendra Nagar,25.59645002,85.17322249,Night pollution ,Vehicle Pollution,2024-07-19 17:35:29.631221+00,,person 4,620031
222,Rajendra Nagar,25.59102304,85.15313863,Morning ,Vehicle Pollution,2024-07-20 03:09:51.661501+00,,person 4,640905
223,Patna,25.6100066,85.1150889,Atal path,Vehicle Pollution,2024-07-20 06:40:25.604058+00,IMG_20240720_120916.jpg,person 6,648512
224,Patna,25.6073666,85.1164952,Hartali morr,Vehicle Pollution,2024-07-20 06:42:40.23567+00,IMG_20240720_121156.jpg,person 6,648593
225,Patna,25.6033024,85.1160411,Sachivalay,Vehicle Pollution,2024-07-20 07:03:19.877978+00,IMG_20240720_122857.jpg,person 6,649329
226,Patna,25.6033128,85.1160136,Eco-park,Vehicle Pollution,2024-07-20 07:04:22.76826+00,IMG_20240720_123344.jpg,person 6,649442
227,Patna,25.6266877,85.1002489,Indrapuri ,Brick Kilns,2024-07-20 08:15:20.663874+00,IMG_20240720_133654.jpg,person 6,652173
228,Rajendra Nagar,25.5959883,85.1732271,Noon,Vehicle Pollution,2024-07-20 09:23:23.317771+00,,person 4,654746
229,Patna,25.6119927,85.1188092,Slow traffic,Vehicle Pollution,2024-07-20 09:39:32.281308+00,20240720_150904.jpg,person 19,655193
230,Rajendra Nagar,25.6037896,85.16706171,Vehicle Pollution. ,Vehicle Pollution,2024-07-20 13:59:04.361546+00,1000481131.jpg,person 2,665116
231,Patna,25.60980571,85.12994382,Vehicle Pollution,Vehicle Pollution,2024-07-20 13:59:39.656952+00,1000481130.jpg,person 2,665159
232,Rajendra Nagar,25.5961377,85.1731933,Inside room,Vehicle Pollution,2024-07-20 14:52:03.394753+00,,person 4,667373
233,Patna,25.60985522,85.13770223,Traffic ,Vehicle Pollution,2024-07-20 15:11:13.082634+00,,person 5,668256
234,Rajendra Nagar,25.6033866,85.1517673,Traffic at Rajendra Nagar ,Vehicle Pollution,2024-07-20 15:33:59.702822+00,,person 5,669303
235,Rajendra Nagar,25.6025021,85.1630045,Rajendra Nagar terminal ,Vehicle Pollution,2024-07-20 15:39:03.228676+00,,person 5,669540
236,Rajendra Nagar,25.5952513,85.1728261,Night ,Vehicle Pollution,2024-07-20 17:03:26.873136+00,,person 4,673587
237,Rajendra Nagar,25.59635,85.1743369,Vechile pollution ,Vehicle Pollution,2024-07-21 02:00:09.989457+00,,person 27,697560
238,Rajendra Nagar,25.59678191,85.17067433,Dumping of waste,Waste Burning,2024-07-21 02:07:08.814178+00,1000043393.jpg,person 27,697862
239,Rajendra Nagar,25.5959541,85.1732537,Morning vibes ,Vehicle Pollution,2024-07-21 03:04:23.313784+00,1000124400.jpg,person 4,700351
